[1681764660000, '29447.68000000', '29450.19000000', '29433.91000000', '29433.91000000', '4.04102200']
[1681764840000, '29433.78000000', '29433.78000000', '29430.19000000', '29430.19000000', '1.70291100']
[1681765020000, '29430.01000000', '29464.28000000', '29425.74000000', '29443.76000000', '10.08680100']
[1681765200000, '29443.75000000', '29452.16000000', '29443.51000000', '29452.15000000', '1.53084500']
[1681765380000, '29452.16000000', '29452.16000000', '29434.44000000', '29449.99000000', '6.35632500']
[1681765560000, '29450.00000000', '29461.67000000', '29449.82000000', '29454.40000000', '4.46103100']
[1681765740000, '29453.31000000', '29453.31000000', '29430.00000000', '29430.01000000', '4.98397600']
[1681765920000, '29430.01000000', '29440.03000000', '29425.75000000', '29440.03000000', '4.41734900']
[1681766100000, '29440.02000000', '29446.76000000', '29440.02000000', '29441.54000000', '2.58210800']
[1681766280000, '29441.44000000', '29441.44000000', '29414.92000000', '29420.08000000', '5.39806000']
[1681766460000, '29420.08000000', '29442.92000000', '29391.92000000', '29442.90000000', '11.29220500']
[1681766640000, '29442.90000000', '29451.99000000', '29441.61000000', '29449.00000000', '6.57822700']
[1681766820000, '29449.00000000', '29449.01000000', '29434.09000000', '29438.60000000', '3.88089500']
[1681767000000, '29438.59000000', '29450.66000000', '29438.58000000', '29450.60000000', '5.33362200']
[1681767180000, '29450.60000000', '29464.78000000', '29450.52000000', '29464.77000000', '5.47862200']
[1681767360000, '29464.77000000', '29466.36000000', '29464.77000000', '29466.36000000', '0.60862300']
[1681767540000, '29466.36000000', '29471.97000000', '29466.35000000', '29466.78000000', '1.41688000']
[1681767720000, '29466.78000000', '29469.51000000', '29459.94000000', '29469.41000000', '4.02119900']
[1681767900000, '29469.41000000', '29469.42000000', '29460.58000000', '29460.77000000', '2.02537000']
[1681768080000, '29460.24000000', '29460.24000000', '29456.21000000', '29456.22000000', '1.46859000']
[1681768260000, '29456.22000000', '29460.00000000', '29451.32000000', '29460.00000000', '3.03245500']
[1681768440000, '29456.20000000', '29459.43000000', '29455.53000000', '29457.04000000', '1.24471100']
[1681768620000, '29457.04000000', '29457.24000000', '29450.36000000', '29452.21000000', '2.40044400']
[1681768800000, '29452.22000000', '29485.86000000', '29452.21000000', '29485.85000000', '6.07947100']
[1681768980000, '29485.85000000', '29489.11000000', '29470.31000000', '29472.82000000', '5.94667800']
[1681769160000, '29472.82000000', '29472.82000000', '29469.62000000', '29469.62000000', '1.76314400']
[1681769340000, '29469.48000000', '29480.00000000', '29469.47000000', '29479.99000000', '2.14809400']
[1681769520000, '29479.99000000', '29480.04000000', '29475.82000000', '29479.99000000', '0.95982700']
[1681769700000, '29480.00000000', '29480.78000000', '29479.99000000', '29480.00000000', '1.08527400']
[1681769880000, '29480.00000000', '29480.00000000', '29479.99000000', '29480.00000000', '0.07412900']
[1681770060000, '29479.99000000', '29480.00000000', '29479.99000000', '29479.99000000', '0.12236000']
[1681770240000, '29479.99000000', '29505.30000000', '29479.95000000', '29505.30000000', '3.40675600']
[1681770420000, '29505.31000000', '29510.23000000', '29499.74000000', '29502.20000000', '3.44266800']
[1681770600000, '29502.20000000', '29510.47000000', '29502.12000000', '29510.16000000', '2.48362000']
[1681770780000, '29508.87000000', '29510.45000000', '29506.10000000', '29510.45000000', '2.42681600']
[1681770960000, '29510.47000000', '29536.93000000', '29509.26000000', '29522.25000000', '7.71776300']
[1681771140000, '29522.00000000', '29522.00000000', '29509.93000000', '29520.33000000', '4.06528900']
[1681771320000, '29520.34000000', '29532.24000000', '29515.67000000', '29515.68000000', '6.70107800']
[1681771500000, '29515.68000000', '29529.49000000', '29515.67000000', '29516.54000000', '4.79189800']
[1681771680000, '29516.54000000', '29516.54000000', '29506.45000000', '29506.45000000', '2.77233900']
[1681771860000, '29505.57000000', '29512.82000000', '29504.87000000', '29512.82000000', '1.51139500']
[1681772040000, '29512.82000000', '29514.32000000', '29508.26000000', '29508.26000000', '2.91883500']
[1681772220000, '29508.94000000', '29508.94000000', '29482.65000000', '29502.40000000', '9.59585700']
